sfnm,addr,facilities,tel
서부산단공원,인천광역시 서구 경서동 678일원,"족구장,야외운동기구",032-560-4800
장모루공원,인천광역시 서구 검암동 594-2일원,"배드민턴장,야외운동기구",032-560-4800
아랫말공원(경서4호),인천광역시 서구 경서동 760일원,"운동장,야외운동기구",032-560-4800
진포공원(경서1호),인천광역시 서구 경서동 719-1일원,"배드민턴장,야외운동기구",032-560-4800
중동공원,인천광역시 서구 검암동 613-5일원,"농구장,야외운동기구",032-560-4800
빈정공원,인천광역시 서구 검암동 681일원,"운동장,야외운동기구",032-560-4800
능내공원,인천광역시 서구 마전동 657-11일원,축구장,032-560-4800
검단1지구 1호 어린이공원,인천광역시 서구 마전동 907일원,농구장,032-560-4800
왕길공원,인천광역시 서구 왕길동 649-4일원,농구장,032-560-4800
종다리공원,인천광역시 서구 왕길동 641-13일원,농구장,032-560-4800
금호공원(오류지구 어린이공원),인천광역시 서구 오류동 760-3일원,농구장,032-560-4800
원당지구 1호공원,인천광역시 서구 원당동 811-2,"게이트볼장,야외운동기구",032-560-4800
당하지구3호 어린이공원,인천광역시 서구 당하동 1099-4일원,야외운동기구,032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
신석체육공원,인천광역시 서구 석남동 222일원,"축구장,족구장,풋살장,농구장",032-560-4800
진주체육공원,인천광역시 서구 가좌동 30-130일원,"배드민턴장,테니스장,농구장",032-560-4800
진주체육공원,인천광역시 서구 가좌동 30-130일원,"배드민턴장,테니스장,농구장",032-560-4800
가좌공원,인천광역시 서구 가좌동 219일원,게이트볼장,032-560-4800
당하어린이공원,인천광역시 서구 당하동 1067-4일원,농구장,032-560-4800
감중공원,인천광역시 서구 가좌동 157일원,족구장,032-560-4800
청라1호공원,인천광역시 서구 경서동 673-19일원,"족구장,배드민턴장",032-560-4800
청라1호공원,인천광역시 서구 경서동 673-19일원,"족구장,배드민턴장",032-560-4800
경서근린공원,인천광역시 서구 경서동 996일원,"농구장,배드민턴장",032-560-4800
반월공원(나),인천광역시 서구 오류동 1656-4번지,"족구장,농구장",032-560-4800
한들방죽공원(라),인천광역시 서구 오류동 1665-2번지,다목적구장,032-560-4800
경서1공원(아라뱃길 물류단지),인천광역시 서구 오류동 1579-1번지 일원,다목적구장,032-560-4800
경서2공원(아라뱃길 물류단지),인천광역시 서구 오류동 1545-4번지 일원,"다목적구장,야외운동기구",032-560-4800
버들 어린이공원,인천광역시 서구 왕길동 538-1일원,농구장,032-560-4804
율도공원(2호),인천광역시 서구 원창동 485-5일원,"족구장,축구장",032-560-4804
율도공원(2호),인천광역시 서구 원창동 485-5일원,"족구장,축구장",032-560-4804
늘푸른공원,인천광역시 서구 청라동 8-126,"배드민턴장,게이트볼장",032-560-4805
늘푸른공원,인천광역시 서구 청라동 8-126,"배드민턴장,게이트볼장",032-560-4805
사염공원,인천광역시 서구 청라동 9-92,"배드민턴장,인라인스케이트장,풋살장",032-560-4805
사염공원,인천광역시 서구 청라동 9-92,"배드민턴장,인라인스케이트장,풋살장",032-560-4805
연일공원,인천광역시 서구 청라동 116-1,"농구장,배드민턴장",032-560-4805
연일공원,인천광역시 서구 청라동 116-1,"농구장,배드민턴장",032-560-4805
문점공원,인천광역시 서구 청라동 105-151,"농구장,배드민턴장",032-560-4805
문점공원,인천광역시 서구 청라동 105-151,"농구장,배드민턴장",032-560-4805
포리공원,인천광역시 서구 청라동 178-6,배드민턴장,032-560-4805
까투렴공원,인천광역시 서구 청라동 8-129,"농구장,배드민턴장",032-560-4805
까투렴공원,인천광역시 서구 청라동 8-129,"농구장,배드민턴장",032-560-4805
서곶공원,인천광역시 서구 연희동 산50일원,"축구장,족구장,농구장,배드민턴장,인라인스케이트장",032-560-4800
굴포공원,인천광역시 부평구 갈산동 373-1,"배드민턴장2면,야외운동기구9점",
대촌공원,인천광역시 부평구 부개동 502-16,"농구장1면,배드민턴장2면,야외운동기구10점",
대촌공원,인천광역시 부평구 부개동 502-16,"농구장1면,배드민턴장2면,야외운동기구10점",
대촌공원,인천광역시 부평구 부개동 502-16,"농구장1면,배드민턴장2면,야외운동기구10점",
동소정공원,인천광역시 부평구 부개동 499-5,농구장1면,
동심공원,인천광역시 부평구 삼산동 456-11,"농구장1면,야외운동기구7점",
동심공원,인천광역시 부평구 삼산동 456-11,"농구장1면,야외운동기구7점",
뫼골공원,인천광역시 부평구 산곡동 56-3,"농구장1면,배드민턴장2면,야외운동기구7점",
뫼골공원,인천광역시 부평구 산곡동 56-3,"농구장1면,배드민턴장2면,야외운동기구7점",
뫼골공원,인천광역시 부평구 산곡동 56-3,"농구장1면,배드민턴장2면,야외운동기구7점",
방촌공원,인천광역시 부평구 부개동 500-7,"농구장1면,배드민턴장1면,야외운동기구4점",
방촌공원,인천광역시 부평구 부개동 500-7,"농구장1면,배드민턴장1면,야외운동기구4점",
백운공원,인천광역시 부평구 십정동 186-419,"축구장1면,족구장1면,게이트볼장2면,조깅트랙655m,야외운동기구11점",
백운공원 ,인천광역시 부평구 십정동 186-419,"축구장1면,족구장1면,게이트볼장2면,조깅트랙655m,야외운동기구11점",
백운공원,인천광역시 부평구 십정동 186-408,"축구장1면,족구장1면,게이트볼장2면,조깅트랙655m,야외운동기구11점",
복개천 ,인천광역시 부평구 갈산동 192,농구장1면,
부개공원,인천광역시 부평구 부개동 497-2,"배드민턴장3면,야외운동기구4점",
부개공원,인천광역시 부평구 부개동 497-2,"배드민턴장3면,야외운동기구4점",
부들공원,인천광역시 부평구 삼산동 541,"게이트볼장1면,야외운동기구3점",
부들공원,인천광역시 부평구 삼산동 541,"게이트볼장1면,야외운동기구3점",
부이공원,인천광역시 부평구 부개동 514,"농구장1면,야외운동기구8점",
부이공원,인천광역시 부평구 부개동 514,"농구장1면,야외운동기구8점",
부평공원,인천광역시 부평구 부평동 299,"농구장1면,배드민턴장,게이트볼장1면,야외운동기구23점",
부평공원,인천광역시 부평구 부평동 299,"농구장1면,배드민턴장,게이트볼장1면,야외운동기구23점",
부평공원,인천광역시 부평구 부평동 299,"농구장1면,배드민턴장,게이트볼장1면,야외운동기구23점",
부평공원,인천광역시 부평구 부평동 299,"농구장1면,배드민턴장,게이트볼장1면,야외운동기구23점",
부흥공원,인천광역시 부평구 부평동 178,"게이트볼장1면,야외운동기구8점",
부흥공원,인천광역시 부평구 부평동 178,"게이트볼장1면,야외운동기구8점",
분수공원,인천광역시 부평구 삼산동 458-4,"인라인스케이트장1식,족구장1면,배드민턴장1면,야외운동기구11점",
삼산게이트볼,인천광역시 부평구 삼산동 197,게이트볼장1면,
삼산유수지,인천광역시 부평구 삼산동 450-1,"운동장1면,농구장1면,족구장2면,배드민턴장2면,조깅트랙385m",
삼산유수지,인천광역시 부평구 삼산동 450-1,"운동장1면,농구장1면,족구장2면,배드민턴장2면,조깅트랙385m",
삼산유수지 ,인천광역시 부평구 삼산동 450-1,"운동장1면,농구장1면,족구장2면,배드민턴장2면,조깅트랙385m",
삼산유수지 ,인천광역시 부평구 삼산동 450-1,"운동장1면,농구장1면,족구장2면,배드민턴장2면,조깅트랙385m",
삼산유수지 ,인천광역시 부평구 삼산동 450-1,"운동장1면,농구장1면,족구장2면,배드민턴장2면,조깅트랙385m",
상꾸지공원,인천광역시 부평구 갈산동 361-2,"게이트볼장1면,야외운동기구6점",
새울공원,인천광역시 부평구 부개동 499-3,배드민턴장1면,
세영공원,인천광역시 부평구 부개동 500-1,"농구장1면,배드민턴장2면,야외운동기구6점",
세영공원,인천광역시 부평구 부개동 500-1,"농구장1면,배드민턴장2면,야외운동기구6점",
세영공원,인천광역시 부평구 부개동 500-1,"농구장1면,배드민턴장2면,야외운동기구6점",
신궁동공원,인천광역시 부평구 부개동 496-12,농구장1면,
신트리공원,인천광역시 부평구 부평동 880,"농구장1면,배드민턴장4면,테니스장5면,축구장1면,족구장1면,조깅트랙350m,야외운동기구22점",
신트리공원,인천광역시 부평구 부평동 880,"농구장1면,배드민턴장4면,테니스장5면,축구장1면,족구장1면,조깅트랙350m,야외운동기구22점",
신트리공원 ,인천광역시 부평구 부평동 880,"농구장1면,배드민턴장4면,테니스장5면,축구장1면,족구장1면,조깅트랙350m,야외운동기구22점",
신트리공원 ,인천광역시 부평구 부평동 880,"농구장1면,배드민턴장4면,테니스장5면,축구장1면,족구장1면,조깅트랙350m,야외운동기구22점",
신트리공원 ,인천광역시 부평구 부평동 891,"농구장1면,배드민턴장4면,테니스장5면,축구장1면,족구장1면,조깅트랙350m,야외운동기구22점",
십정공원,인천광역시 부평구 십정동 산37,"테니스장3면,족구장2면",
십정공원,인천광역시 부평구 십정동 산37,"테니스장3면,족구장2면",
십정체육공원,인천광역시 부평구 십정동 101-2,"테니스장6면,농구장2면,게이트볼장2면",
십정체육공원,인천광역시 부평구 십정동 101-2,"테니스장6면,농구장2면,게이트볼장2면",
십정체육공원,인천광역시 부평구 십정동 101-2,"테니스장6면,농구장2면,게이트볼장2면",
영성공원,인천광역시 부평구 삼산동 388-2,"농구장1면,배드민턴장2면,야외운동기구3점",
원적산공원,인천광역시 부평구 청천동 산27-2,"축구장1면,농구장1면,족구장2면,배드민턴장4면",
원적산공원,인천광역시 부평구 청천동 산27-2,"축구장1면,농구장1면,족구장2면,배드민턴장4면",
원적산공원,인천광역시 부평구 청천동 산27-2,"축구장1면,농구장1면,족구장2면,배드민턴장4면",
원적산공원,인천광역시 부평구 청천동 산27-2,"축구장1면,농구장1면,족구장2면,배드민턴장4면",
원적산체육공원,인천광역시 부평구 산곡동 179-140,"농구장1면,배드민턴장2면,족구장2면,테니스장3면,야외운동기구24점",
원적산체육공원,인천광역시 부평구 산곡동 179-140,"농구장1면,배드민턴장2면,족구장2면,테니스장3면,야외운동기구24점",
원적산체육공원,인천광역시 부평구 산곡동 179-140,"농구장1면,배드민턴장2면,족구장2면,테니스장3면,야외운동기구24점",
원적산체육공원,인천광역시 부평구 산곡동 179-140,"농구장1면,배드민턴장2면,족구장2면,테니스장3면,야외운동기구24점",
원적산체육공원,인천광역시 부평구 산곡동 179-140,"농구장1면,배드민턴장2면,족구장2면,테니스장3면,야외운동기구24점",
자원재활용센터 ,인천광역시 부평구 부개동 499-7,게이트볼장1면,
중부동공원,인천광역시 부평구 부평동 104-10,"농구장1면,게이트볼장1면,야외운동기구9점",
중부동공원,인천광역시 부평구 부평동 104-10,"농구장1면,게이트볼장1면,야외운동기구9점",
중부동공원,인천광역시 부평구 부평동 104-10,"농구장1면,게이트볼장1면,야외운동기구9점",
청운공원,인천광역시 부평구 부개동 499-6,"농구장1면,배드민턴장1면,야외운동기구5점",
청운공원,인천광역시 부평구 부개동 499-6,"농구장1면,배드민턴장1면,야외운동기구5점",
후정공원,인천광역시 부평구 삼산동386,"농구장1면,배드민턴장1면,야외운동기구11점",
후정공원,인천광역시 부평구 삼산동386,"농구장1면,배드민턴장1면,야외운동기구11점",
희망공원,인천광역시 부평구 부평동 산34-16,"게이트볼장1면,야외운동기구",
희망공원,인천광역시 부평구 부평동 산34-16,"게이트볼장1면,야외운동기구",
희망체육공원,인천광역시 부평구 부평동 768-320,"배드민턴장2면,족구장1면,농구장1면,조깅트랙240m,게이트볼장1면,야외운동기구17점",
희망체육공원,인천광역시 부평구 부평동 768-320,"배드민턴장2면,족구장1면,농구장1면,조깅트랙240m,게이트볼장1면,야외운동기구17점",
희망체육공원,인천광역시 부평구 부평동 768-320,"배드민턴장2면,족구장1면,농구장1면,조깅트랙240m,게이트볼장1면,야외운동기구17점",
서곶공원,인천광역시 서구 연희동 산50일원,"축구장,족구장,농구장,배드민턴장,인라인스케이트장",032-560-4800
심곡공원,인천광역시 서구 심곡동 284일원,"운동장,야외운동기구",032-560-4800
심곡공원,인천광역시 서구 심곡동 284일원,"운동장,야외운동기구",032-560-4800
갈매공원,인천광역시 서구 공촌동 304일원,"농구장,야외운동기구",032-560-4800
새말공원,인천광역시 서구 심곡동 260일원,"운동장,야외운동기구",032-560-4800
모통공원,인천광역시 서구 심곡동 301-3일원,"농구장,야외운동기구",032-560-4800
장모루공원,인천광역시 서구 검암동 594-2일원,"배드민턴장,야외운동기구",032-560-4800
아랫말공원(경서4호),인천광역시 서구 경서동 760일원,"운동장,야외운동기구",032-560-4800
진포공원(경서1호),인천광역시 서구 경서동 719-1일원,"배드민턴장,야외운동기구",032-560-4800
중동공원,인천광역시 서구 검암동 613-5일원,"농구장,야외운동기구",032-560-4800
빈정공원,인천광역시 서구 검암동 681일원,"운동장,야외운동기구",032-560-4800
원당지구 1호공원,인천광역시 서구 원당동 811-2,"게이트볼장,야외운동기구",032-560-4800
진주체육공원,인천광역시 서구 가좌동 30-130일원,"배드민턴장,테니스장,농구장",032-560-4800
진주체육공원,인천광역시 서구 가좌동 30-130일원,"배드민턴장,테니스장,농구장",032-560-4800
당하어린이공원,인천광역시 서구 당하동 1067-4일원,농구장,032-560-4800
감중공원,인천광역시 서구 가좌동 157일원,족구장,032-560-4800
감중공원,인천광역시 서구 가좌동 157일원,족구장,032-560-4800
경서근린공원,인천광역시 서구 경서동 996일원,"농구장,배드민턴장",032-560-4800
반월공원(나),인천광역시 서구 오류동 1656-4번지,"족구장,농구장",032-560-4800
경서2공원(아라뱃길 물류단지),인천광역시 서구 오류동 1545-4번지 일원,"다목적구장,야외운동기구",032-560-4800
율도공원(2호),인천광역시 서구 원창동 485-5일원,"족구장,축구장",032-560-4804
사염공원,인천광역시 서구 청라동 9-92,"배드민턴장,인라인스케이트장,풋살장",032-560-4805
까투렴공원,인천광역시 서구 청라동 8-129,"농구장,배드민턴장",032-560-4805
용종5공원,인천광역시 계양구 용종동 224,야외운동기구,032-450-5663
살나리공원,인천광역시 계양구 서운동 93-2,야외운동기구,032-450-5663
하야공원,인천광역시 계양구 하야동 64-29,야외운동기구,032-450-5663
계산공원,인천광역시 계양구 계산동 907-1,"인조잔디구장,게이트볼장,야외운동기구,농구장",032-450-5663
계산공원,인천광역시 계양구 계산동 907-1,"인조잔디구장,게이트볼장,야외운동기구,농구장",032-450-5663
계산공원,인천광역시 계양구 계산동 907-1,"인조잔디구장,게이트볼장,야외운동기구,농구장",032-450-5663
다남공원,인천광역시 계양구 다남동 42-8,"국궁장,게이트볼장",032-450-5663
다남공원,인천광역시 계양구 다남동 42-8,"국궁장,게이트볼장",032-450-5663
작전공원,인천광역시 계양구 작전동 902,"인라인스케이트장,농구장",032-450-5663
작전공원,인천광역시 계양구 작전동 902,"인라인스케이트장,농구장",032-450-5663
오조산공원,인천광역시 계양구 용종동 208,야외운동기구,032-450-5663
계양교통공원,인천광역시 계양구 계산동 1085-1,"다목적운동장,야외운동기구",032-450-5663
까치공원,인천광역시 계양구 작전동 908,야외운동기구,032-450-5663
서운공원,인천광역시 계양구 작전동 915-2,"인조잔디구장,야외운동기구",032-450-5663
서운공원,인천광역시 계양구 작전동 915-2,"인조잔디구장,야외운동기구",032-450-5663
된밭공원,인천광역시 계양구 작전동 53-9일원,야외운동기구,032-450-5663
이촌공원,인천광역시 계양구 효성동 산18,"야외운동기구,다목적구장",032-450-5663
갈개공원,인천광역시 계양구 작전동 750일원,야외운동기구,032-450-5663
효성공원,인천광역시 계양구 효성동 223,"인조잔디구장,야외운동기구,농구장",032-450-5663
효성공원,인천광역시 계양구 효성동 223,"인조잔디구장,야외운동기구,농구장",032-450-5663
작전공원,인천광역시 계양구 작전동 414,"인조잔디구장,야외운동기구,배드민턴장,농구장",032-450-5663
작전공원,인천광역시 계양구 작전동 414,"인조잔디구장,야외운동기구,배드민턴장,농구장",032-450-5663
부일공원,인천광역시 계양구 계산동 930-1,야외운동기구,032-450-5663
안남공원,인천광역시 계양구 계산동 949,야외운동기구,032-450-5663
낙원공원,인천광역시 계양구 임학동 25,야외운동기구,032-450-5663
고향골공원,인천광역시 계양구 계산동 982,"농구장,야외운동기구",032-450-5663
고향골공원,인천광역시 계양구 계산동 982,"농구장,야외운동기구",032-450-5663
방축공원,인천광역시 계양구 방축동 211,야외운동기구,032-450-5663
병방공원,인천광역시 계양구 병방동 367,야외운동기구,032-450-5663
임학공원,인천광역시 계양구 임학동 135,"게이트볼장,농구장,야외운동기구",032-450-5663
임학공원,인천광역시 계양구 임학동 135,"게이트볼장,농구장,야외운동기구",032-450-5663
임학공원,인천광역시 계양구 임학동 135,"게이트볼장,농구장,야외운동기구",032-450-5663
학마을공원,인천광역시 계양구 병방동 432-4,야외운동기구,032-450-5663
초정공원,인천광역시 계양구 용종동 213-1,"야외운동기구,농구장",032-450-5663
은행공원,인천광역시 계양구 계산동 1084-1,야외운동기구,032-450-5663
도두리공원,인천광역시 계양구 작전동 912-2,야외운동기구,032-450-5663
개나리공원,인천광역시 계양구 계산동 1067-1,야외운동기구,032-450-5663
계산4공원,"인천광역시 계양구 계산동 1068-1,4",야외운동기구,032-450-5663
샘터공원,인천광역시 계양구 귤현동 509-5,야외운동기구,032-450-5663
안골공원,인천광역시 계양구 귤현동 486-7,"다목적운동장,야외운동기구",032-450-5663
안골공원,인천광역시 계양구 귤현동 486-7,"다목적운동장,야외운동기구",032-450-5663
굴재공원,인천광역시 계양구 귤현동 499-6,야외운동기구,032-450-5663
동양택지1공원,인천광역시 계양구 동양동 575-1,"야외운동기구,농구장",032-450-5663
동양택지2공원,인천광역시 계양구 동양동 582-1,야외운동기구,032-450-5663
동산공원,인천광역시 계양구 장기동 131,야외운동기구,032-450-5663
장기공원,인천광역시 계양구 장기동 124,야외운동기구,032-450-5663
중앙공원,인천광역시 계양구 장기동 136,야외운동기구,032-450-5663
장터공원,인천광역시 계양구 장기동 146,야외운동기구,032-450-5663
양지말공원,인천광역시 계양구 동양동 592,야외운동기구,032-450-5663
모텡이공원,인천광역시 계양구 동양동 607,야외운동기구,032-450-5663
서녘공원,인천광역시 계양구 동양동 620-2,야외운동기구,032-450-5663
살나리공원,인천광역시 계양구 서운동 185-1,"야외운동기구,배드민턴장",032-450-5663
계산1호공원,인천광역시 계양구 계산동 944-20,"야외운동기구,농구장",032-450-5663
들놀이공원,인천광역시 계양구 귤현동 248-1,"다목적운동장,야외운동기구",032-450-5663
들놀이공원,인천광역시 계양구 귤현동 248-1,"다목적운동장,야외운동기구",032-450-5663
소양공원,인천광역시 계양구 박촌동 38외 7,야외운동기구,032-450-5663
계산공원,인천광역시 계양구 계산동 907-1,"인조잔디구장,게이트볼장,야외운동기구,농구장",032-450-5663
이촌공원,인천광역시 계양구 효성동 산18,"야외운동기구,다목적구장",032-450-5663
효성공원,인천광역시 계양구 효성동 223,"인조잔디구장,야외운동기구,농구장",032-450-5663
작전공원,인천광역시 계양구 작전동 414,"인조잔디구장,야외운동기구,배드민턴장,농구장",032-450-5663
작전공원,인천광역시 계양구 작전동 414,"인조잔디구장,야외운동기구,배드민턴장,농구장",032-450-5663
초정공원,인천광역시 계양구 용종동 213-1,"야외운동기구,농구장",032-450-5663
